,block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type,corrAns
510,block52,montaña,CVC,CVC,mon,word,match,mon,mon,critical,1.0
511,block52,barbecho,CVC,CVC,mon,word,match,mon,bar,filler01,None
512,block52,bufete,CV,CVC,mon,word,mismatch,mon,buf,filler02,None
513,block52,deltoides,CVC,CVC,mon,word,match,mon,del,filler03,None
514,block52,batuta,CV,CVC,mon,word,mismatch,mon,bat,filler04,None
515,block52,rabillo,CV,CVC,mon,word,mismatch,mon,rab,filler05,None
516,block52,vaquilla,CV,CVC,mon,word,mismatch,mon,vaq,filler06,None
517,block52,piropo,CV,CVC,mon,word,mismatch,mon,pir,filler07,None
518,block52,gorjeo,CVC,CVC,mon,word,match,mon,gor,filler08,None
519,block52,balbina,CVC,CVC,mon,word,match,mon,bal,filler09,None
