block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type
block03,garganta,CVC,CV,ga,word,mismatch,gar,gar,critical
block03,lumbrera,CVC,CV,ga,word,mismatch,gar,lum,filler01
block03,polvillo,CVC,CV,ga,word,mismatch,gar,pol,filler02
block03,solera,CV,CV,ga,word,match,gar,sol,filler03
block03,pujanza,CV,CV,ga,word,match,gar,puj,filler04
block03,mensaje,CVC,CV,ga,word,mismatch,gar,men,filler05
block03,tendencia,CVC,CV,ga,word,mismatch,gar,ten,filler06
block03,cimiento,CV,CV,ga,word,match,gar,cim,filler07
block03,sopapo,CV,CV,ga,word,match,gar,sop,filler08
block03,tiniebla,CV,CV,ga,word,match,gar,tin,filler09
