,block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type
80,block09,garele,CV,CV,ga,nonword,match,gar,gar,critical
81,block09,tulvano,CVC,CV,ga,nonword,mismatch,gar,tul,filler01
82,block09,cicauco,CV,CV,ga,nonword,match,gar,cic,filler02
83,block09,dusnuente,CVC,CV,ga,nonword,mismatch,gar,dus,filler03
84,block09,numete,CV,CV,ga,nonword,match,gar,num,filler04
85,block09,tildona,CVC,CV,ga,nonword,mismatch,gar,til,filler05
86,block09,mufenza,CV,CV,ga,nonword,match,gar,muf,filler06
87,block09,cuntela,CVC,CV,ga,nonword,mismatch,gar,cun,filler07
88,block09,pembanse,CVC,CV,ga,nonword,mismatch,gar,pem,filler08
89,block09,sufiasa,CV,CV,ga,nonword,match,gar,suf,filler09
