,block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type
60,block07,garganta,CVC,CVC,gar,word,match,gar,gar,critical
61,block07,tejado,CV,CVC,gar,word,mismatch,gar,tej,filler01
62,block07,zumbido,CVC,CVC,gar,word,match,gar,zum,filler02
63,block07,postigo,CVC,CVC,gar,word,match,gar,pos,filler03
64,block07,fundillo,CVC,CVC,gar,word,match,gar,fun,filler04
65,block07,pestillo,CVC,CVC,gar,word,match,gar,pes,filler05
66,block07,filete,CV,CVC,gar,word,mismatch,gar,fil,filler06
67,block07,velero,CV,CVC,gar,word,mismatch,gar,vel,filler07
68,block07,tufillo,CV,CVC,gar,word,mismatch,gar,tuf,filler08
69,block07,tetilla,CV,CVC,gar,word,mismatch,gar,tet,filler09
