,block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type,corrAns
70,block08,balbusa,CVC,CVC,bal,nonword,match,bal,bal,critical,1.0
71,block08,denciña,CVC,CVC,bal,nonword,match,bal,den,filler01,None
72,block08,cecaja,CV,CVC,bal,nonword,mismatch,bal,cec,filler02,None
73,block08,vestolcio,CVC,CVC,bal,nonword,match,bal,ves,filler03,None
74,block08,cicora,CV,CVC,bal,nonword,mismatch,bal,cic,filler04,None
75,block08,sinvera,CVC,CVC,bal,nonword,match,bal,sin,filler05,None
76,block08,simedo,CV,CVC,bal,nonword,mismatch,bal,sim,filler06,None
77,block08,donania,CV,CVC,bal,nonword,mismatch,bal,don,filler07,None
78,block08,vobita,CV,CVC,bal,nonword,mismatch,bal,vob,filler08,None
79,block08,cencera,CVC,CVC,bal,nonword,match,bal,cen,filler09,None
