,block,word,wd_int_syl_str,tar_syl_str,tar_syl,wd_status,matching,lemma,first_3,item_type
70,block08,jornada,CVC,CVC,jor,word,match,jor,jor,critical
71,block08,zapato,CV,CVC,jor,word,mismatch,jor,zap,filler01
72,block08,venganza,CVC,CVC,jor,word,match,jor,ven,filler02
73,block08,fastidio,CVC,CVC,jor,word,match,jor,fas,filler03
74,block08,secuela,CV,CVC,jor,word,mismatch,jor,sec,filler04
75,block08,pulgada,CVC,CVC,jor,word,match,jor,pul,filler05
76,block08,vistazo,CVC,CVC,jor,word,match,jor,vis,filler06
77,block08,taquilla,CV,CVC,jor,word,mismatch,jor,taq,filler07
78,block08,cizalla,CV,CVC,jor,word,mismatch,jor,ciz,filler08
79,block08,cilindro,CV,CVC,jor,word,mismatch,jor,cil,filler09
